thread index,duration in microseconds,visited nodes
1,212,738
1,14833,20228
1,1424,3263
1,47,108
1,44,87
1,74,261
1,45,151
1,21628,27111
1,3924,6123
1,68127,67873
1,20098,24699
1,18,25
1,62,96
1,9716,12532
1,109830,99945
1,75,107
1,5482,7712
1,75376,78687
1,38421,42466
1,70,106
1,22300,28455
1,33212,41620
1,8679,11400
1,103,222
1,6545,10325
1,1,1
1,0,1
1,41818,49449
1,205,435
1,131,319
1,66,186
1,33,72
1,73,299
1,13,26
1,48,148
1,42,109
1,22722,31416
1,12280,16634
1,425,1079
1,17,34
1,122161,116135
1,111261,111644
1,60461,71092
1,67,127
1,14360,20272
1,236,547
1,0,1
1,51,129
1,20248,27262
1,16794,22615
1,25802,33780
1,41106,48673
1,31216,53747
1,0,1
1,28634,55270
1,7678,15249
1,765,1894
1,31847,62911
1,7415,15615
1,47,146
1,19105,40631
1,10546,22008
1,41,132
1,7290,16826
1,19827,41027
1,4313,10547
1,6,18
1,124,439
1,5546,12518
1,67,243
1,30,122
1,41146,98359
1,8525,19045
1,13351,34202
1,4130,10010
1,994,4952
1,13264,30921
1,43762,99493
1,305,1081
1,24325,52740
1,23745,50730
1,13,34
1,20614,43514
1,5323,12676
1,30,95
1,23,79
1,17696,40664
1,12418,30981
1,512,2555
2,208,146
2,102573,44768
2,20273,22226
2,188080,102608
2,329,886
2,62224,58946
2,35465,37812
2,82,157
2,57,111
2,20762,24120
2,37,59
2,820,2322
2,22064,24131
2,161,376
2,52,140
2,67188,50776
2,82,103
2,1509,4718
2,6836,9327
2,141,374
2,1075,1864
2,15,33
2,91,249
2,32,93
2,591,2280
2,40358,45758
2,46,94
2,77,144
2,8689,12352
2,14117,19643
2,18,32
2,56,100
2,20,34
2,13819,18905
2,10,14
2,21183,27185
2,0,1
2,6640,9499
2,9637,12906
2,57419,57971
2,62,113
2,16760,20501
2,432,1161
2,83,223
2,27368,32512
2,10,12
2,66127,63861
2,51031,58366
2,38512,43536
2,373,981
2,65759,70762
2,253,567
2,21716,26096
2,13510,19186
2,42729,44865
2,119,223
2,11974,15870
2,68,115
2,13098,17657
2,93,179
2,1327,3903
2,239,698
2,13650,17928
2,46205,54117
2,43661,52173
2,309,782
2,43,106
2,17082,21939
2,100497,103102
2,42775,32083
2,77504,39177
2,23132,28715
2,1644,5524
2,2714,5149
2,36,72
2,16209,23595
2,21,28
2,609,1587
2,22588,30273
2,43,72
2,25727,34348
2,104,213
2,39,90
2,65,167
2,10660,17794
2,94967,44804
2,314,747
2,42907,51682
2,20627,28118
2,35239,43310
2,216,434
2,6748,11230
2,17884,24718
2,28,47
2,99,223
2,51,103
2,44490,54812
2,41,87
2,14738,20145
2,27205,34864
2,627,1651
2,28081,36455
2,94026,78550
2,14323,19487
2,40498,46255
2,194,360
2,34,75
2,39409,42704
2,743,2116
2,52163,63915
2,83,155
2,26534,35295
2,163,382
2,19047,24699
2,40532,48092
2,154778,117199
2,432,990
2,10738,5291
2,940,2999
2,108298,96110
2,4195,6024
2,52,164
2,50,146
2,206,698
2,73,179
2,56,154
2,78203,86555
2,21867,25937
2,40418,44749
2,35364,41860
2,4,5
2,494,1416
2,15,35
2,311,1055
2,58,127
2,52,151
2,13487,17738
2,44615,52739
2,44181,50198
2,121,226
2,27495,33525
2,402,890
2,33304,40976
2,14839,21100
2,118,225
2,50,92
2,62227,67859
2,23,36
2,167,367
2,109479,99639
2,47049,50527
2,83979,35450
2,42719,32431
2,111263,101471
2,16300,21210
2,24,42
2,966,2739
2,487,1403
2,58183,65074
2,56,81
2,12152,18296
2,14045,18830
2,772,2245
2,7027,10090
2,673,2007
2,12945,17486
2,277,706
2,1,1
2,12019,17832
2,1,1
2,84811,93812
