thread index,duration in microseconds,visited nodes
2,162,698
2,11202,17928
2,36867,53401
2,32462,51023
2,222,782
2,32,106
2,12427,21838
2,73722,96927
2,19291,31399
2,23795,38642
2,18834,28389
2,1362,5524
2,2200,5149
2,34,72
2,13100,23469
2,16,28
2,484,1587
2,19508,30508
2,35,72
2,21076,33885
2,86,213
2,33,90
2,55,167
2,9434,17523
2,28391,43575
2,227,747
2,36049,50574
2,17497,27872
2,26978,42480
2,129,434
2,6254,11107
2,16238,24326
2,23,47
2,77,223
2,40,103
2,36896,54140
2,40,87
2,12379,20090
2,21550,34342
2,461,1651
2,24707,36090
2,49542,73010
2,11381,19429
2,29149,44759
2,136,360
2,29,75
2,28540,42385
2,576,2116
2,44719,59877
2,56,155
2,22467,35332
2,150,382
2,15441,24258
2,33775,46742
2,94109,111950
2,331,990
2,2865,5252
2,499,2999
2,75670,90265
2,3561,6024
2,57,164
2,37,146
2,134,698
2,55,179
2,40,154
2,59830,80551
2,17481,25216
2,32553,43245
2,31342,41649
2,4,5
2,420,1416
2,13,35
2,184,1055
2,41,127
2,39,151
2,11032,17735
2,36957,50774
2,38049,48997
2,93,226
2,23265,32635
2,299,890
2,25471,39761
2,12942,21062
2,85,225
2,42,92
2,48459,65092
2,21,36
2,131,367
2,76967,92966
2,37239,49157
2,25326,35259
2,20881,32428
2,87182,94907
2,12185,21031
2,23,42
2,684,2739
2,312,1403
2,45182,62259
2,39,81
2,11406,18146
2,11343,18712
2,485,2245
2,6858,10007
2,420,2007
2,10597,17402
2,227,706
2,0,1
2,10787,17753
2,0,1
2,75011,88360
2,775,2606
2,11777,18814
2,17248,24821
2,22126,33502
2,30450,40293
2,30371,43208
2,21653,31301
2,91,230
2,76620,89467
2,34,64
2,23,48
2,38,95
2,12,20
2,4236,7410
2,8331,14366
2,51,134
2,38,125
2,53815,75377
2,49853,65098
2,549,1615
2,12583,19139
2,28,66
2,8691,14479
2,17,33
2,15905,24568
2,17140,25295
2,202,687
2,8,34
2,33808,44771
2,59,142
2,0,1
2,12114,20714
2,83,206
2,21,54
2,38,89
2,24295,35336
2,2214,3746
2,132,533
2,24985,36406
2,104,268
2,47,137
2,98,360
2,36272,47472
2,17090,26157
2,634,2449
2,113,428
2,35,104
2,81,299
2,54223,71114
2,36200,51215
2,34036,42429
2,31,68
2,55895,73149
2,7735,13108
2,15382,23519
2,3172,5632
2,7441,11993
2,14,25
2,293,926
2,63,188
2,8,28
2,308,1217
2,13826,23018
2,2682,4804
2,909,4735
2,0,1
2,0,1
2,45133,57108
2,41095,48063
2,74,195
2,20,51
2,39539,46236
2,99417,96129
2,4486,7363
2,26,78
2,428,1763
2,8793,14263
2,57,140
2,77,214
2,199,765
2,5544,9481
2,80,294
2,8093,14001
2,90,239
2,5369,10125
2,265,776
2,45435,60211
2,25477,38111
2,0,1
2,26,50
2,83208,95740
2,20,36
2,97249,104988
2,6447,10344
2,423,1924
2,141,584
2,9834,15672
2,22474,32659
2,17,24
2,7619,14025
2,140,465
2,18788,30048
2,11451,18408
2,53,114
2,479,1713
2,188,808
2,24459,33826
2,203,671
2,9419,15554
2,90959,106394
2,105,241
2,33,84
2,45,152
2,31,98
2,431,1994
2,15016,22524
2,17,29
2,52704,70768
2,70,160
2,3443,5776
2,29588,41646
2,63009,64635
2,6509,11035
2,30,73
2,23,65
2,29895,43209
2,14,27
2,289,1111
2,9,27
2,8843,15011
2,184,482
2,1526,4847
2,41,143
2,378,2103
2,39913,57019
2,19426,29577
2,69125,84031
2,33,64
2,133,350
2,34132,46836
2,21,46
2,40776,53972
2,16642,23195
2,46,122
2,57337,47353
2,718,2242
2,21,53
2,34,125
2,13686,16078
2,19646,22735
2,1854,2894
2,28391,28075
2,49,107
2,30,84
2,117,332
2,290,906
2,36,97
2,177,812
2,17,64
2,22,77
2,55,266
2,19,43
2,28364,29673
2,26,48
2,7050,9498
2,149,445
2,73,216
2,0,1
2,494,1791
2,0,1
2,445,2715
2,2011,2499
2,60,214
2,17,50
2,37540,37269
2,206,447
2,4075,7158
2,19047,26336
2,50,119
2,1883,3215
2,11,27
2,41477,49343
2,28315,37799
2,30432,42414
2,41,87
2,61,148
2,41,107
2,68999,89166
2,19,27
2,169,600
2,73,180
2,58035,74283
2,238,779
2,17503,27095
2,348,1400
2,24,72
2,60416,75396
2,49757,67007
2,36625,46462
2,39946,45062
2,21934,28925
2,8,17
2,7,11
2,26484,37678
2,659,2401
2,49311,59440
2,16370,22622
2,71,169
2,107144,114012
2,659,2108
2,299,1158
2,7464,12438
2,2640,4965
2,161,633
2,6917,12487
2,53618,68540
2,13813,19835
2,36430,44985
2,196,564
2,9636,15720
2,6212,9740
2,7663,13215
2,121,334
2,44,135
2,55,162
2,147,577
2,53489,67275
2,72675,87372
2,8205,14765
2,42,99
2,48631,63351
2,16855,23468
2,40,96
2,33180,46936
2,14793,23244
2,189,606
2,5923,10683
2,35088,44135
2,44674,56912
2,14746,21636
2,62,156
2,134,382
2,9826,17036
2,15495,23214
2,38551,52076
2,37,69
2,16284,24220
2,569,2274
2,7411,12645
2,65240,83312
2,7826,12169
2,8275,14048
2,40758,51278
2,126,333
2,168,728
2,3289,5775
2,39,194
2,13194,21203
2,786,2925
2,0,1
2,9,28
2,43280,59422
2,15749,25250
2,60,128
2,46,152
2,72,185
2,16828,24123
2,4104,8088
2,19,50
2,101,387
2,34,104
2,32580,45016
2,7761,13064
2,98,332
2,10532,17407
2,61669,77506
2,1007,3301
2,63700,76362
2,68,155
2,36579,43850
2,34,50
2,7280,11164
2,44,94
2,6435,12427
2,24692,33005
2,5,12
2,339,1255
2,16670,26146
2,5675,9946
2,504,1831
2,17,49
2,65,270
2,66,177
2,14067,24444
2,92,236
2,18902,33990
2,19618,40270
2,9,20
2,0,1
2,21,48
2,6271,13471
2,3203,8246
2,26,57
2,0,1
2,15,64
2,44555,84522
2,48,153
2,10,24
2,34790,68313
2,33,118
2,0,1
2,3225,7903
2,18055,36754
2,12,30
2,14,45
2,102,384
2,11351,25717
2,27635,54779
2,5467,14747
2,14,35
2,36,152
2,21284,45737
2,22274,47049
2,1253,3424
2,0,1
2,39,206
2,19823,41230
2,7637,16793
2,23178,46586
3,45501,36721
3,188,390
3,17209,24559
3,42877,46190
3,96835,107976
3,59,135
3,28,67
3,7681,11708
3,10932,15220
3,633,2655
3,20201,27540
3,27836,27968
3,28,47
3,134,372
3,110,447
3,5280,9001
3,29,100
3,34646,44796
3,42117,53611
3,248,892
3,108,400
3,37,124
3,11148,18351
3,301,1034
3,19392,29560
3,73,106
3,253,682
3,30181,20535
3,42,81
3,37,88
3,25391,17561
3,32117,22482
3,29785,19747
3,100062,61379
3,31,66
3,236,867
3,6747,13922
3,28809,41254
3,64,154
3,35,122
3,99,360
3,15,39
3,26877,20612
3,3105,5648
3,95155,75122
3,8073,14122
3,0,1
3,24413,35001
3,30776,47513
3,49,167
3,15830,25269
3,131,325
3,46057,61277
3,23201,35186
3,862,2869
3,63,232
3,29,98
3,40,180
3,21,97
3,22045,33394
3,65054,84019
3,546,2232
3,43,120
3,34,181
3,19,52
3,165,913
3,44,110
3,15944,23317
3,199,791
3,6,18
3,465,2681
3,23,64
3,13396,21925
3,42,120
3,71,192
3,254,927
3,44006,59377
3,21145,29161
3,30146,37293
3,33749,47451
3,415,1321
3,57,189
3,70,345
3,59,270
3,22673,36091
3,95,258
3,1819,3623
3,9097,16603
3,89,260
3,14,51
3,9612,16069
3,30784,38186
3,10352,16817
3,14740,22770
3,18768,27662
3,11168,19586
3,9662,15729
3,177,574
3,30948,45273
3,7747,12943
3,185,722
3,125,434
3,113,392
3,104169,106492
3,137,306
3,29988,35178
3,7214,11903
3,149,510
3,33172,50773
3,51938,74558
3,20,33
3,67,162
3,0,1
3,0,1
3,12808,20619
3,20677,29950
3,12257,19062
3,453,1573
3,0,1
3,29481,40021
3,135,446
3,46310,67457
3,21199,32819
3,257,952
3,63,199
3,44,153
3,34634,45503
3,92848,105096
3,729,2800
3,19469,29697
3,8353,13238
3,10567,17083
3,201,851
3,26287,38139
3,10774,18192
3,84227,98946
3,8547,14612
3,41677,53940
3,80,159
3,92,276
3,23937,33921
3,23978,33609
3,215,626
3,12298,19117
3,186,652
3,41286,60566
3,14424,23713
3,13242,20648
3,73272,90112
3,9948,15241
3,100,383
3,22,68
3,49443,68619
3,12187,19656
3,12565,19490
3,15830,23130
3,23939,38000
3,181,480
3,31815,50998
3,0,1
3,20623,32249
3,28034,41703
3,32,66
3,33,95
3,892,3869
3,59647,77417
3,51,129
3,24834,39528
3,62,135
3,4801,8336
3,40508,55225
3,12033,20278
3,21902,29203
3,71,159
3,44957,62428
3,595,1700
3,14,58
3,64,288
3,26255,38339
3,12178,19889
3,61445,82343
3,17091,23455
3,45,94
3,8267,14801
3,26320,38421
3,689,2948
3,33,105
3,25961,37142
3,8068,12911
3,655,2014
3,182,720
3,32,120
3,91,323
3,38142,54537
3,258,622
3,12,31
3,658,2231
3,95,333
3,96442,106126
3,57434,76499
3,23,44
3,16046,23980
3,5671,9460
3,0,1
3,25785,32953
3,191,670
3,128,463
3,34440,45372
3,343,1192
3,185,1000
3,10272,16042
3,37316,52571
3,5977,10121
3,32727,46529
3,34,111
3,16,40
3,276,831
3,16,77
3,8,19
3,443,1712
3,21974,27112
3,280,1048
3,17909,23718
3,38,81
3,27358,35866
3,4879,8208
3,19019,27327
3,0,1
3,1316,4438
3,36730,46224
3,11212,17921
3,77,217
3,20556,30819
3,620,2382
3,33930,43846
3,6714,11327
3,32710,46789
3,3719,6765
3,21,65
3,84,307
3,39361,55914
3,377,1115
3,30,89
3,22,69
3,42,180
3,7,22
3,40583,49239
3,1485,3031
3,45,152
3,187,758
3,53658,72200
3,44232,46434
3,4687,8576
3,26100,32672
3,18130,29738
3,81141,95542
3,0,1
3,3327,6799
3,65,208
3,72502,90471
3,89,214
3,43291,59671
3,15,27
3,5792,10366
3,15,36
3,35128,46207
3,17208,26369
3,632,2223
3,12653,22214
3,9279,15214
3,15783,24735
3,24,28
3,84,296
3,8786,15036
3,14477,21351
3,72,185
3,63743,80146
3,22,41
3,38310,53350
3,156,407
3,38365,58734
3,28,59
3,47097,66732
3,15496,24654
3,24264,33411
3,40776,52190
3,36,48
3,30553,44810
3,9794,15531
3,1045,3871
3,24,83
3,5257,9529
3,33,154
3,6712,11567
3,103,294
3,7,10
3,5189,10121
3,50,154
3,33,74
3,131,449
3,43,112
3,23,76
3,33,122
3,24,61
3,313,1239
3,6450,10251
3,72870,86986
3,517,927
3,100,348
3,86573,97083
3,27514,35347
3,104,264
3,12670,18504
3,10442,15598
3,213,841
3,6841,12807
3,17435,27691
3,14,31
3,1729,3352
3,10244,18142
3,57,164
3,11,22
3,25,59
3,415,1429
3,21,77
3,66,402
3,44950,52586
3,8386,13320
3,8225,14471
3,103,309
3,26295,37909
3,620,2244
3,54,228
3,63,204
3,87,266
3,38,242
3,19875,29715
3,305,874
3,29,76
3,60176,79212
3,49,113
3,54072,70550
3,38698,50711
3,30080,40398
3,6,8
3,38400,50688
3,119155,87926
3,68,156
3,26,55
3,187,739
3,53586,66966
3,3752,6696
3,0,1
3,0,1
3,12392,19955
3,37881,41592
3,39209,21698
3,46367,35481
3,48698,66834
3,76071,90560
3,32561,42025
3,9866,15955
3,20,51
3,54574,72176
3,36,58
3,852,2842
3,139,712
3,23,77
3,30308,45044
3,20452,33298
3,8816,14295
3,17630,25516
3,7220,12061
3,17654,25891
3,221,611
3,21,52
3,13423,20921
3,19632,28823
3,13,26
3,215,773
3,19345,29547
3,11670,18799
3,523,1762
3,34134,45512
3,94002,106159
3,16,31
3,50,146
3,25,53
3,88,248
3,5548,8945
3,66,206
3,7375,12141
3,9215,13905
3,78,164
3,32172,47716
3,164,559
3,62811,76880
3,32,64
3,21504,23461
3,27515,17881
3,54,143
3,12498,19908
3,8472,13682
3,0,1
3,41,99
3,32,94
3,18690,27299
3,115,297
3,0,1
3,43204,57878
3,9458,15321
3,66077,81510
3,523,1704
3,15123,22793
3,18,38
3,40423,59170
3,40947,53910
3,88,254
3,97,343
3,30536,40794
3,16419,23406
3,18104,26040
3,23151,35405
3,7351,12122
3,72,220
3,249,931
3,4197,8328
3,712,1672
3,25,75
3,11909,19987
3,33564,42214
3,483,1669
3,47116,70725
3,39,88
3,36391,51567
3,32509,48393
3,444,1377
3,2212,4130
3,9829,15775
3,132,503
3,13,37
3,0,1
3,120,400
3,7537,12045
3,20313,29564
3,93,302
3,12,30
3,104,471
3,53,257
3,26546,41031
3,249,1038
3,54,146
3,199,881
3,22687,34966
3,23750,35138
3,13049,20799
3,14708,23379
3,6889,12525
3,51,161
